date,y5y
2010-09-14,2.71
2010-09-15,2.674
2010-09-16,2.722
2010-09-17,2.7355
2010-09-20,2.726
2010-09-21,2.789
2010-09-22,2.7435
2010-09-23,2.759
2010-09-24,2.758
2010-09-27,2.72
2010-09-28,2.7705
2010-09-29,2.797
2010-09-30,2.791
2010-10-01,2.797
2010-10-04,2.787
2010-10-05,2.846
2010-10-06,2.921
2010-10-07,2.908
2010-10-08,2.962
2010-10-12,2.9455
2010-10-13,2.918
2010-10-14,3.122
2010-10-15,3.145
2010-10-18,3.0795
2010-10-19,3.076
2010-10-20,3.0655
2010-10-21,3.1095
2010-10-22,3.067
2010-10-25,3.179
2010-10-26,3.1875
2010-10-27,3.189
2010-10-28,3.195
2010-10-29,3.1595
2010-11-01,3.229
2010-11-02,3.235
2010-11-03,3.145
2010-11-04,2.98
2010-11-05,3.0255
2010-11-08,3.0155
2010-11-09,3.081
2010-11-10,2.968
2010-11-12,3.0545
2010-11-15,3.055
2010-11-16,3.0645
2010-11-17,3.191
2010-11-18,3.211
2010-11-19,3.1965
2010-11-22,3.2315
2010-11-23,3.1735
2010-11-24,3.2465
2010-11-26,3.1955
2010-11-29,3.175
2010-11-30,3.221
2010-12-01,3.2325
2010-12-02,3.26
2010-12-03,3.259
2010-12-06,3.2295
2010-12-07,3.343
2010-12-08,3.0945
2010-12-09,3.085
2010-12-10,3.1395
2010-12-13,3.189
2010-12-14,3.174
2010-12-15,3.273
2010-12-16,3.301
2010-12-17,3.191
2010-12-20,3.195
2010-12-21,3.173
2010-12-22,3.156
2010-12-23,3.129
2010-12-27,3.158
2010-12-28,3.142
2010-12-29,3.138
2010-12-30,3.15
2010-12-31,3.1275
2011-01-03,3.1392
2011-01-04,3.115
2011-01-05,3.1145
2011-01-06,3.085
2011-01-07,3.039
2011-01-10,3.048
2011-01-11,3.084
2011-01-12,3.075
2011-01-13,3.07
2011-01-14,3.035
2011-01-18,3.165
2011-01-19,3.075
2011-01-20,3.037
2011-01-21,3.028
2011-01-24,3.01
2011-01-25,3.018
2011-01-26,3.0825
2011-01-27,3.026
2011-01-28,3.0265
2011-01-31,3.1
2011-02-01,3.107
2011-02-02,3.096
2011-02-03,3.035
2011-02-04,3.046
2011-02-07,3.045
2011-02-08,3.0095
2011-02-09,3.0385
2011-02-10,3.0285
2011-02-11,3.013
2011-02-14,3.03
2011-02-15,3.02
2011-02-16,2.975
2011-02-17,2.967
2011-02-18,3.0835
2011-02-22,3.012
2011-02-23,2.865
2011-02-24,3.001
2011-02-25,3.035
2011-02-28,3.0225
2011-03-01,3.034
2011-03-02,3.0595
2011-03-03,3.1825
2011-03-04,3.155
2011-03-07,3.145
2011-03-08,3.175
2011-03-09,3.18
2011-03-10,3.11
2011-03-11,2.985
2011-03-14,3.09
2011-03-15,3.06
2011-03-16,3.074
2011-03-17,2.965
2011-03-18,2.9275
2011-03-21,3
2011-03-22,2.8462
2011-03-23,2.899
2011-03-24,2.898
2011-03-25,2.98
2011-03-28,3.0165
2011-03-29,2.9905
2011-03-30,2.985
2011-03-31,3.0235
2011-04-01,3.038
2011-04-04,2.981
2011-04-05,3.021
2011-04-06,3.029
2011-04-07,3.088
2011-04-08,3.077
2011-04-11,3.084
